normalized_hand,hand_rank,hand_type
AsKsQsJsTs,1,Royal Flush
As5s4s3s2s,2,Straight Flush
KsQsJsTs9s,3,Straight Flush
QsJsTs9s8s,4,Straight Flush
JsTs9s8s7s,5,Straight Flush
Ts9s8s7s6s,6,Straight Flush
9s8s7s6s5s,7,Straight Flush
8s7s6s5s4s,8,Straight Flush
7s6s5s4s3s,9,Straight Flush
6s5s4s3s2s,10,Straight Flush
AsAhAdAcKc,11,Four of a Kind
AsAhAdAcKd,12,Four of a Kind
AsAhAdAcKh,13,Four of a Kind
AsAhAdAcKs,14,Four of a Kind
AsAhAdAcQc,15,Four of a Kind
AsAhAdAcQd,16,Four of a Kind
AsAhAdAcQh,17,Four of a Kind
AsAhAdAcQs,18,Four of a Kind
AsAhAdAcJc,19,Four of a Kind
AsAhAdAcJd,20,Four of a Kind
AsAhAdAcJh,21,Four of a Kind
AsAhAdAcJs,22,Four of a Kind
AsAhAdAcTc,23,Four of a Kind
AsAhAdAcTd,24,Four of a Kind
AsAhAdAcTh,25,Four of a Kind
AsAhAdAcTs,26,Four of a Kind
AsAhAdAc9c,27,Four of a Kind
AsAhAdAc9d,28,Four of a Kind
AsAhAdAc9h,29,Four of a Kind
AsAhAdAc9s,30,Four of a Kind
AsAhAdAc8c,31,Four of a Kind
AsAhAdAc8d,32,Four of a Kind
AsAhAdAc8h,33,Four of a Kind
AsAhAdAc8s,34,Four of a Kind
AsAhAdAc7c,35,Four of a Kind
AsAhAdAc7d,36,Four of a Kind
AsAhAdAc7h,37,Four of a Kind
AsAhAdAc7s,38,Four of a Kind
AsAhAdAc6c,39,Four of a Kind
AsAhAdAc6d,40,Four of a Kind
AsAhAdAc6h,41,Four of a Kind
AsAhAdAc6s,42,Four of a Kind
AsAhAdAc5c,43,Four of a Kind
AsAhAdAc5d,44,Four of a Kind
AsAhAdAc5h,45,Four of a Kind
AsAhAdAc5s,46,Four of a Kind
AsAhAdAc4c,47,Four of a Kind
AsAhAdAc4d,48,Four of a Kind
AsAhAdAc4h,49,Four of a Kind
AsAhAdAc4s,50,Four of a Kind
AsAhAdAc3c,51,Four of a Kind
AsAhAdAc3d,52,Four of a Kind
AsAhAdAc3h,53,Four of a Kind
AsAhAdAc3s,54,Four of a Kind
AsAhAdAc2c,55,Four of a Kind
AsAhAdAc2d,56,Four of a Kind
AsAhAdAc2h,57,Four of a Kind
AsAhAdAc2s,58,Four of a Kind
AsKsKhKdKc,59,Four of a Kind
AsQsQhQdQc,60,Four of a Kind
AsJsJhJdJc,61,Four of a Kind
AsTsThTdTc,62,Four of a Kind
As9s9h9d9c,63,Four of a Kind
As8s8h8d8c,64,Four of a Kind
As7s7h7d7c,65,Four of a Kind
As6s6h6d6c,66,Four of a Kind
As5s5h5d5c,67,Four of a Kind
As4s4h4d4c,68,Four of a Kind
As3s3h3d3c,69,Four of a Kind
As2s2h2d2c,70,Four of a Kind
KsKhKdKcQc,71,Four of a Kind
KsKhKdKcQd,72,Four of a Kind
KsKhKdKcQh,73,Four of a Kind
KsKhKdKcQs,74,Four of a Kind
KsKhKdKcJc,75,Four of a Kind
KsKhKdKcJd,76,Four of a Kind
KsKhKdKcJh,77,Four of a Kind
KsKhKdKcJs,78,Four of a Kind
KsKhKdKcTc,79,Four of a Kind
KsKhKdKcTd,80,Four of a Kind
KsKhKdKcTh,81,Four of a Kind
KsKhKdKcTs,82,Four of a Kind
KsKhKdKc9c,83,Four of a Kind
KsKhKdKc9d,84,Four of a Kind
KsKhKdKc9h,85,Four of a Kind
KsKhKdKc9s,86,Four of a Kind
KsKhKdKc8c,87,Four of a Kind
KsKhKdKc8d,88,Four of a Kind
KsKhKdKc8h,89,Four of a Kind
KsKhKdKc8s,90,Four of a Kind
KsKhKdKc7c,91,Four of a Kind
KsKhKdKc7d,92,Four of a Kind
KsKhKdKc7h,93,Four of a Kind
KsKhKdKc7s,94,Four of a Kind
KsKhKdKc6c,95,Four of a Kind
KsKhKdKc6d,96,Four of a Kind
KsKhKdKc6h,97,Four of a Kind
KsKhKdKc6s,98,Four of a Kind
KsKhKdKc5c,99,Four of a Kind
KsKhKdKc5d,100,Four of a Kind
KsKhKdKc5h,101,Four of a Kind
KsKhKdKc5s,102,Four of a Kind
KsKhKdKc4c,103,Four of a Kind
KsKhKdKc4d,104,Four of a Kind
KsKhKdKc4h,105,Four of a Kind
KsKhKdKc4s,106,Four of a Kind
KsKhKdKc3c,107,Four of a Kind
KsKhKdKc3d,108,Four of a Kind
KsKhKdKc3h,109,Four of a Kind
KsKhKdKc3s,110,Four of a Kind
KsKhKdKc2c,111,Four of a Kind
KsKhKdKc2d,112,Four of a Kind
KsKhKdKc2h,113,Four of a Kind
KsKhKdKc2s,114,Four of a Kind
KsQsQhQdQc,115,Four of a Kind
KsJsJhJdJc,116,Four of a Kind
KsTsThTdTc,117,Four of a Kind
Ks9s9h9d9c,118,Four of a Kind
Ks8s8h8d8c,119,Four of a Kind
Ks7s7h7d7c,120,Four of a Kind
Ks6s6h6d6c,121,Four of a Kind
Ks5s5h5d5c,122,Four of a Kind
Ks4s4h4d4c,123,Four of a Kind
Ks3s3h3d3c,124,Four of a Kind
Ks2s2h2d2c,125,Four of a Kind
QsQhQdQcJc,126,Four of a Kind
QsQhQdQcJd,127,Four of a Kind
QsQhQdQcJh,128,Four of a Kind
QsQhQdQcJs,129,Four of a Kind
QsQhQdQcTc,130,Four of a Kind
QsQhQdQcTd,131,Four of a Kind
QsQhQdQcTh,132,Four of a Kind
QsQhQdQcTs,133,Four of a Kind
QsQhQdQc9c,134,Four of a Kind
QsQhQdQc9d,135,Four of a Kind
QsQhQdQc9h,136,Four of a Kind
QsQhQdQc9s,137,Four of a Kind
QsQhQdQc8c,138,Four of a Kind
QsQhQdQc8d,139,Four of a Kind
QsQhQdQc8h,140,Four of a Kind
QsQhQdQc8s,141,Four of a Kind
QsQhQdQc7c,142,Four of a Kind
QsQhQdQc7d,143,Four of a Kind
QsQhQdQc7h,144,Four of a Kind
QsQhQdQc7s,145,Four of a Kind
QsQhQdQc6c,146,Four of a Kind
QsQhQdQc6d,147,Four of a Kind
QsQhQdQc6h,148,Four of a Kind
QsQhQdQc6s,149,Four of a Kind
QsQhQdQc5c,150,Four of a Kind
QsQhQdQc5d,151,Four of a Kind
QsQhQdQc5h,152,Four of a Kind
QsQhQdQc5s,153,Four of a Kind
QsQhQdQc4c,154,Four of a Kind
QsQhQdQc4d,155,Four of a Kind
QsQhQdQc4h,156,Four of a Kind
QsQhQdQc4s,157,Four of a Kind
QsQhQdQc3c,158,Four of a Kind
QsQhQdQc3d,159,Four of a Kind
QsQhQdQc3h,160,Four of a Kind
QsQhQdQc3s,161,Four of a Kind
QsQhQdQc2c,162,Four of a Kind
QsQhQdQc2d,163,Four of a Kind
QsQhQdQc2h,164,Four of a Kind
QsQhQdQc2s,165,Four of a Kind
QsJsJhJdJc,166,Four of a Kind
QsTsThTdTc,167,Four of a Kind
Qs9s9h9d9c,168,Four of a Kind
Qs8s8h8d8c,169,Four of a Kind
Qs7s7h7d7c,170,Four of a Kind
Qs6s6h6d6c,171,Four of a Kind
Qs5s5h5d5c,172,Four of a Kind
Qs4s4h4d4c,173,Four of a Kind
Qs3s3h3d3c,174,Four of a Kind
Qs2s2h2d2c,175,Four of a Kind
JsJhJdJcTc,176,Four of a Kind
JsJhJdJcTd,177,Four of a Kind
JsJhJdJcTh,178,Four of a Kind
JsJhJdJcTs,179,Four of a Kind
JsJhJdJc9c,180,Four of a Kind
JsJhJdJc9d,181,Four of a Kind
JsJhJdJc9h,182,Four of a Kind
JsJhJdJc9s,183,Four of a Kind
JsJhJdJc8c,184,Four of a Kind
JsJhJdJc8d,185,Four of a Kind
JsJhJdJc8h,186,Four of a Kind
JsJhJdJc8s,187,Four of a Kind
JsJhJdJc7c,188,Four of a Kind
JsJhJdJc7d,189,Four of a Kind
JsJhJdJc7h,190,Four of a Kind
JsJhJdJc7s,191,Four of a Kind
JsJhJdJc6c,192,Four of a Kind
JsJhJdJc6d,193,Four of a Kind
JsJhJdJc6h,194,Four of a Kind
JsJhJdJc6s,195,Four of a Kind
JsJhJdJc5c,196,Four of a Kind
JsJhJdJc5d,197,Four of a Kind
JsJhJdJc5h,198,Four of a Kind
JsJhJdJc5s,199,Four of a Kind
JsJhJdJc4c,200,Four of a Kind
JsJhJdJc4d,201,Four of a Kind
JsJhJdJc4h,202,Four of a Kind
JsJhJdJc4s,203,Four of a Kind
JsJhJdJc3c,204,Four of a Kind
JsJhJdJc3d,205,Four of a Kind
JsJhJdJc3h,206,Four of a Kind
JsJhJdJc3s,207,Four of a Kind
JsJhJdJc2c,208,Four of a Kind
JsJhJdJc2d,209,Four of a Kind
JsJhJdJc2h,210,Four of a Kind
JsJhJdJc2s,211,Four of a Kind
JsTsThTdTc,212,Four of a Kind
Js9s9h9d9c,213,Four of a Kind
Js8s8h8d8c,214,Four of a Kind
Js7s7h7d7c,215,Four of a Kind
Js6s6h6d6c,216,Four of a Kind
Js5s5h5d5c,217,Four of a Kind
Js4s4h4d4c,218,Four of a Kind
Js3s3h3d3c,219,Four of a Kind
Js2s2h2d2c,220,Four of a Kind
TsThTdTc9c,221,Four of a Kind
TsThTdTc9d,222,Four of a Kind
TsThTdTc9h,223,Four of a Kind
TsThTdTc9s,224,Four of a Kind
TsThTdTc8c,225,Four of a Kind
TsThTdTc8d,226,Four of a Kind
TsThTdTc8h,227,Four of a Kind
TsThTdTc8s,228,Four of a Kind
TsThTdTc7c,229,Four of a Kind
TsThTdTc7d,230,Four of a Kind
TsThTdTc7h,231,Four of a Kind
TsThTdTc7s,232,Four of a Kind
TsThTdTc6c,233,Four of a Kind
TsThTdTc6d,234,Four of a Kind
TsThTdTc6h,235,Four of a Kind
TsThTdTc6s,236,Four of a Kind
TsThTdTc5c,237,Four of a Kind
TsThTdTc5d,238,Four of a Kind
TsThTdTc5h,239,Four of a Kind
TsThTdTc5s,240,Four of a Kind
TsThTdTc4c,241,Four of a Kind
TsThTdTc4d,242,Four of a Kind
TsThTdTc4h,243,Four of a Kind
TsThTdTc4s,244,Four of a Kind
TsThTdTc3c,245,Four of a Kind
TsThTdTc3d,246,Four of a Kind
TsThTdTc3h,247,Four of a Kind
TsThTdTc3s,248,Four of a Kind
TsThTdTc2c,249,Four of a Kind
TsThTdTc2d,250,Four of a Kind
TsThTdTc2h,251,Four of a Kind
TsThTdTc2s,252,Four of a Kind
Ts9s9h9d9c,253,Four of a Kind
Ts8s8h8d8c,254,Four of a Kind
Ts7s7h7d7c,255,Four of a Kind
Ts6s6h6d6c,256,Four of a Kind
Ts5s5h5d5c,257,Four of a Kind
Ts4s4h4d4c,258,Four of a Kind
Ts3s3h3d3c,259,Four of a Kind
Ts2s2h2d2c,260,Four of a Kind
9s9h9d9c8c,261,Four of a Kind
9s9h9d9c8d,262,Four of a Kind
9s9h9d9c8h,263,Four of a Kind
9s9h9d9c8s,264,Four of a Kind
9s9h9d9c7c,265,Four of a Kind
9s9h9d9c7d,266,Four of a Kind
9s9h9d9c7h,267,Four of a Kind
9s9h9d9c7s,268,Four of a Kind
9s9h9d9c6c,269,Four of a Kind
9s9h9d9c6d,270,Four of a Kind
9s9h9d9c6h,271,Four of a Kind
9s9h9d9c6s,272,Four of a Kind
9s9h9d9c5c,273,Four of a Kind
9s9h9d9c5d,274,Four of a Kind
9s9h9d9c5h,275,Four of a Kind
9s9h9d9c5s,276,Four of a Kind
9s9h9d9c4c,277,Four of a Kind
9s9h9d9c4d,278,Four of a Kind
9s9h9d9c4h,279,Four of a Kind
9s9h9d9c4s,280,Four of a Kind
9s9h9d9c3c,281,Four of a Kind
9s9h9d9c3d,282,Four of a Kind
9s9h9d9c3h,283,Four of a Kind
9s9h9d9c3s,284,Four of a Kind
9s9h9d9c2c,285,Four of a Kind
9s9h9d9c2d,286,Four of a Kind
9s9h9d9c2h,287,Four of a Kind
9s9h9d9c2s,288,Four of a Kind
