rank,normalized_hand,win_rate,standard_deviation,confidence_interval,simulations
1,AsAhJsJh,0.722000,0.008180,0.016032,3000
2,AsAhJsTh,0.719333,0.008204,0.016079,3000
3,AsAhTsTh,0.718667,0.008209,0.016091,3000
4,AsAhQs5h,0.714000,0.008250,0.016171,3000
5,AsAh7h6s,0.712000,0.008268,0.016204,3000
6,AsAh9s8h,0.711333,0.008273,0.016215,3000
7,AsAhQsQh,0.711000,0.008276,0.016221,3000
8,AsAh7s5h,0.711000,0.008276,0.016221,3000
9,AsAh9s9h,0.709000,0.008293,0.016254,3000
10,AsAhJs9h,0.708667,0.008296,0.016260,3000
11,AsAhKsKh,0.708667,0.008296,0.016260,3000
12,AsAhTs9h,0.707667,0.008304,0.016276,3000
13,AsAhTs8h,0.707667,0.008304,0.016276,3000
14,AsAh6s6h,0.706333,0.008315,0.016298,3000
15,AsAh9h8s,0.705667,0.008321,0.016309,3000
16,AsAh4s4h,0.705333,0.008323,0.016314,3000
17,AsAh5s5h,0.704667,0.008329,0.016325,3000
18,AsAh6s5h,0.704000,0.008334,0.016335,3000
19,AsAhTh6s,0.703667,0.008337,0.016341,3000
20,AsAhQsTh,0.703000,0.008342,0.016351,3000
21,AsAh5h4s,0.703000,0.008342,0.016351,3000
22,AsAhTh8s,0.703000,0.008342,0.016351,3000
23,AsAh4s3h,0.703000,0.008342,0.016351,3000
24,AsAhJh4s,0.701667,0.008353,0.016372,3000
25,AsAhJs4h,0.701667,0.008353,0.016372,3000
26,AsAhKhJs,0.701333,0.008356,0.016378,3000
27,AsAhJhTs,0.701333,0.008356,0.016378,3000
28,AsAh8s5h,0.700333,0.008364,0.016393,3000
29,AsAh9h5s,0.700000,0.008367,0.016399,3000
30,AsAhKhTs,0.700000,0.008367,0.016399,3000
31,AsAhJs3h,0.699333,0.008372,0.016409,3000
32,AsAh6s4h,0.698333,0.008380,0.016424,3000
33,AsAhJh5s,0.698333,0.008380,0.016424,3000
34,AsAhQs8h,0.698000,0.008382,0.016430,3000
35,AsAhQsJh,0.698000,0.008382,0.016430,3000
36,AsAh5h3s,0.697667,0.008385,0.016435,3000
37,AsAh9s5h,0.697333,0.008388,0.016440,3000
38,AsAh4h3s,0.696667,0.008393,0.016450,3000
39,AsAh3s3h,0.696667,0.008393,0.016450,3000
40,AsAh8s8h,0.696333,0.008395,0.016455,3000
41,AsAhQs4h,0.696000,0.008398,0.016460,3000
42,AsAhTs2h,0.696000,0.008398,0.016460,3000
43,AsAhQs9h,0.695333,0.008403,0.016470,3000
44,AsAhKhQs,0.695333,0.008403,0.016470,3000
45,AsAhJh2s,0.695333,0.008403,0.016470,3000
46,AsAhJs8h,0.695333,0.008403,0.016470,3000
47,AsAh8h5s,0.695000,0.008406,0.016475,3000
48,AsAhKs2h,0.695000,0.008406,0.016475,3000
49,AsAh7h4s,0.694667,0.008408,0.016481,3000
50,AsAhTs5h,0.694667,0.008408,0.016481,3000
51,AsAhKh2s,0.694333,0.008411,0.016486,3000
52,AsAh6h5s,0.694000,0.008414,0.016491,3000
53,AsAhJs5h,0.694000,0.008414,0.016491,3000
54,AsAh2s2h,0.693667,0.008416,0.016496,3000
55,AsAh7s6h,0.693667,0.008416,0.016496,3000
56,AsAhJh9s,0.693000,0.008421,0.016506,3000
57,AsAhJdTh,0.692667,0.008424,0.016511,3000
58,AsAh9s7h,0.692667,0.008424,0.016511,3000
59,AsAhQh7s,0.692667,0.008424,0.016511,3000
60,AsAh8h5d,0.692333,0.008426,0.016516,3000
61,AsAh8s6h,0.692333,0.008426,0.016516,3000
62,AsAhTh9s,0.692333,0.008426,0.016516,3000
63,AsAhTh4s,0.692000,0.008429,0.016521,3000
64,AsAh8h7s,0.691667,0.008431,0.016525,3000
65,AsAh7s7h,0.691667,0.008431,0.016525,3000
66,AsAhKsQh,0.691667,0.008431,0.016525,3000
67,AsAhKh5s,0.691333,0.008434,0.016530,3000
68,AsAh5s2h,0.691333,0.008434,0.016530,3000
69,AsAhQhTs,0.691333,0.008434,0.016530,3000
70,AsAhTs3h,0.691000,0.008436,0.016535,3000
71,AsAhQh9s,0.691000,0.008436,0.016535,3000
72,AsAh9s8d,0.690667,0.008439,0.016540,3000
73,AsAhQh8s,0.690667,0.008439,0.016540,3000
74,AsAhKs8h,0.690333,0.008441,0.016545,3000
75,AsAhTs6h,0.690333,0.008441,0.016545,3000
76,AsAhTh7s,0.690000,0.008444,0.016550,3000
77,AsAhJs2h,0.690000,0.008444,0.016550,3000
78,AsAhJs6h,0.690000,0.008444,0.016550,3000
79,AsAh8h2s,0.689000,0.008451,0.016565,3000
80,AsAhQhJs,0.689000,0.008451,0.016565,3000
81,AsAh4s2h,0.689000,0.008451,0.016565,3000
82,AsAhKsTh,0.689000,0.008451,0.016565,3000
83,AsAh7h6d,0.688667,0.008454,0.016570,3000
84,AsAhQs3h,0.688667,0.008454,0.016570,3000
85,AsAh8s7h,0.688667,0.008454,0.016570,3000
86,AsAh9s6h,0.688333,0.008456,0.016574,3000
87,AsAhKs9h,0.688333,0.008456,0.016574,3000
88,AsAhTh2s,0.688333,0.008456,0.016574,3000
89,AsAh7s4h,0.688333,0.008456,0.016574,3000
90,AsAh7d6s,0.688000,0.008459,0.016579,3000
